,Unnamed: 0.1,Unnamed: 0,Domain_Name,Manual1,Manual2,ChatGPT_4o,Instant_Segment,English?
0,0,53441,chs-student.com,chs|student,chs|student,chs|student,chs|student,Yes
1,1,30134,iichajd.com,iichajd,iichajd,ii|chajd,ii|cha|jd,No
2,2,33725,informaticasicurezza.com,informaticas|icurezza,informatica|sicurezza,informatica|sicurezza,informatica|sicurezza,No
3,3,49352,allianceoverseas.com,alliance|over|seas,alliance|overseas,alliance|overseas,alliance|overseas,Yes
4,4,49506,cruisepiratesclub.com,cruise|pirates|club,cruise|pirates|club,cruise|pirates|club,cruise|pirates|club,Yes
5,5,21373,jamesflorentino.com,james|florentino,james|florentino,james|florentino,james|florentino,Yes
6,6,77070,farmcoinc.com,farm|coin|c,farm|co|inc,farm|co|inc,farm|co|inc,Yes
7,7,40023,cafeayv.com,cafe|ayv,cafe|ayv,cafe|ayv,cafe|a|yv,Yes
8,8,14224,cavcocanvas.com,cavco|canvas,cavco|canvas,cavco|canvas,cavco|canvas,Yes
9,9,73076,2701riverhillsroad.com,2701|river|hills|road,2701|river|hills|road,2701|river|hills|road,riverhills|road,Yes
10,10,45714,evcharge4free.com,ev|charge|4|free,ev|charge|4|free,ev|charge|4|free,ev|charge|free,Yes
11,11,14613,bocadoor.com,boca|door,boca|door,boca|door,boca|door,Yes
12,12,47413,instantbeema.com,instant|beema,instant|beema,instant|beema,instant|be|ema,Yes
13,13,50068,b-daman.com,b|daman,b|daman,b|daman,b|daman,Yes
14,14,53687,ironwoodband.com,iron|wood|band,iron|wood|band,iron|wood|band,ironwood|band,Yes
15,15,37949,helpponouto.com,help|pon|outo,help|ponouto,help|pon|outo,help|p|on|out|o,Yes
16,16,96014,funding1.com,funding|1,funding|1,funding|1,funding,Yes
17,17,79940,berniehsu.com,bernie|hsu,bernie|hsu,bernie|hsu,bernie|hsu,Yes
18,18,59394,atlprogress.com,atl|progress,atl|progress,atl|progress,atl|progress,Yes
19,19,70680,aurorafruit.com,aurora|fruit,aurora|fruit,aurora|fruit,aurora|fruit,Yes
20,20,49327,costcoguru.com,costco|guru,costco|guru,costco|guru,costco|guru,Yes
21,21,54736,desinis.com,desinis,desinis,desinis,des|in|is,Yes
22,22,56863,iuncommon.com,i|uncommon,i|uncommon,i|uncommon,i|uncommon,Yes
23,23,18765,crontana.com,crontana,crontana,cron|tana,cron|tana,No
24,24,9247,16eg4hbm42a7hlmb9h6pf747p3lefa7d.com,16eg4hbm42a7hlmb9h6pf747p3lefa7d,16eg4hbm42a7hlmb9h6pf747p3lefa7d,16|eg4hbm42a7|hlmb9|h6pf|747|p3|le|fa|7d,eg|hb|mah|lmb|hpf|ple|fad,No
25,25,60404,hybridclinician.com,hybrid|clinician,hybrid|clinician,hybrid|clinician,hybrid|clinician,Yes
26,26,47145,alpeni.com,al|peni,alpeni,alpen|i,alpen|i,No
27,27,23216,bd4254.com,bd4254,bd4254,bd|4254,bd,No
28,28,33251,hedera-garden.com,hedera|garden,hedera|garden,hedera|garden,hedera|garden,Yes
29,29,71690,communautedugout.com,communaute|dug|out,communaute|dugout,communaut|e|dugout,communaute|dugout,Yes
30,30,93590,elviesinn.com,elvies|inn,elvies|inn,elvies|inn,elvie|sinn,Yes
31,31,10596,infinitybiologix.com,infinity|biologix,infinity|biologix,infinity|biologix,infinity|biologi|x,Yes
32,32,21258,didacti-todo.com,didacti|to|do,didacti|todo,didacti|todo,did|act|i|todo,Yes
33,33,25663,123planet.com,123|planet,123|planet,123|planet,planet,Yes
34,34,70296,gis-mu.com,gis|mu,gis|mu,gis|mu,gismu,Yes
35,35,39541,defilex.com,defile|x,defilex,defile|x,defile|x,Yes
36,36,70313,curtiszimmerman.com,curtis|zimmerman,curtis|zimmerman,curtis|zimmerman,curtis|zimmerman,Yes
37,37,91130,37brompton.com,37|brompton,37|brompton,37|brompton,brompton,Yes
38,38,31773,johnmoriartyart.com,john|mori|art|y|art,john|moriarty|art,john|moriarty|art,john|moriarty|art,Yes
39,39,82175,ferienwohnung-wf.com,ferien|wohnung|wf,ferienwohnung|wf,ferien|wohnung|wf,ferienwohnung|wf,No
40,40,60890,abroadmilestones.com,a|broad|mile|stones,abroad|mile|stones,abroad|milestones,a|broad|milestones,Yes
41,41,27212,heiligegraal.com,heili|gegraal,heiligegraal,heilige|graal,heilige|graal,No
42,42,92232,jcqfilms.com,jcq|films,jcq|films,jcq|films,jcq|films,Yes
43,43,7918,christianchenliu.com,christian|chen|liu,christian|chen|liu,christian|chen|liu,christian|chen|liu,Yes
44,44,84529,cbandslandscaping.com,c|bands|land|scaping,cb|and|s|landscaping,cb|and|s|landscaping,c|bands|landscaping,Yes
45,45,97915,dougstoughenterprise.com,dougs|tough|enterprise,dougs|tough|enterprise,doug|stough|enterprise,doug|stough|enterprise,Yes
46,46,81050,cmd-e.com,cmd|e,cmd|e,cmd|e,cmde,Yes
47,47,84169,drttob.com,dr|t|tob,dr|t|tob,dr|ttob,drt|to|b,Yes
48,48,23057,encinitasmortgage.com,encinitas|mortgage,encinitas|mortgage,encinitas|mortgage,encinitas|mortgage,Yes
49,49,53991,elenavalle.com,elena|valle,elena|valle,elena|valle,elena|valle,Yes
50,50,84657,doufi2.com,doufi|2,doufi2,doufi|2,do|ufi,Yes
51,51,86654,freemortgagepaymentcalculator.com,free|mortgage|payment|calculator,free|mortgage|payment|calculator,free|mortgage|payment|calculator,free|mortgage|payment|calculator,Yes
52,52,6728,codeoverfit.com,code|over|fit,code|over|fit,code|over|fit,code|over|fit,Yes
53,53,29196,ceremoniesbyhayley.com,ceremonies|by|hayley,ceremonies|by|hayley,ceremonies|by|hayley,ceremonies|by|hayley,Yes
54,54,94977,ageless-longevity.com,ageless|longevity,ageless|longevity,ageless|longevity,ageless|longevity,Yes
55,55,24685,eliteperformancestudios.com,elite|performance|studios,elite|performance|studios,elite|performance|studios,elite|performance|studios,Yes
56,56,80479,ascottstarrewards.com,a|scott|star|rewards,ascott|star|rewards,ascott|star|rewards,a|scott|star|rewards,Yes
57,57,35620,ambienceonline.com,ambience|online,ambience|online,ambience|online,ambience|online,Yes
58,58,9421,idealprintingservice.com,ideal|printing|service,ideal|printing|service,ideal|printing|service,ideal|printing|service,Yes
59,59,98853,donandjamie.com,don|and|jamie,don|and|jamie,don|and|jamie,don|and|jamie,Yes
60,60,49069,empowersvces.com,empowers|vces,empower|svces,empowers|vces,empower|svces,Yes
61,61,82936,experiencetas.com,experience|tas,experience|tas,experience|tas,experience|tas,Yes
62,62,41371,axisequity.com,axis|equity,axis|equity,axis|equity,axis|equity,Yes
63,63,50503,igrecrm.com,igrecrm,igrecrm,igre|crm,igre|crm,No
64,64,13327,beaboatdog.com,be|a|boat|dog,be|a|boat|dog,bea|boat|dog,be|a|boat|dog,Yes
65,65,66238,dilyano.com,dil|yano,dilyano,dily|ano,d|ilya|no,No
66,66,91796,gpzxzhjt.com,gpzxzhjt,gpzxzhjt,gpzx|zhjt,gp|zxz|hjt,No
67,67,12736,994791.com,994791,994791,994|791,,No
68,68,40177,ennerwebs.com,enner|webs,enner|webs,enner|webs,en|ner|webs,Yes
69,69,35876,belron-tmd2test.com,belron|tmd|2|test,belron|tmd|2|test,belron|tmd|2|test,be|lr|on|tmd|test,Yes
70,70,31962,6699587.com,6699587,6699587,6699587,,No
71,71,70478,indiancaregiver.com,indian|care|giver,indian|care|giver,indian|caregiver,indian|caregiver,Yes
72,72,41961,gfibelgium.com,gfi|belgium,gfi|belgium,gfi|belgium,gfi|belgium,Yes
73,73,15098,emacoaches.com,ema|coaches,ema|coaches,ema|coaches,ema|coaches,Yes
74,74,92319,arabianpeca.com,arabian|peca,arabian|peca,arabian|peca,arabian|peca,Yes
75,75,33731,donatesphere.com,donate|sphere,donate|sphere,donate|sphere,donate|sphere,Yes
76,76,8765,estipreneurship.com,estipreneurship,estipreneurship,esti|preneurship,esti|pren|eur|ship,Yes
77,77,94678,immunomedics-gilead.com,immuno|medics|gi|lead,immunomedics|gilead,immuno|medics|gilead,immuno|medics|gilead,Yes
78,78,67523,gffoundations.com,gf|foundations,gf|foundations,gf|foundations,gf|foundations,Yes
79,79,21937,ahfeelsgood.com,ah|feels|good,ah|feels|good,ah|feels|good,ah|feels|good,Yes
80,80,53765,jrtires.com,jr|tires,jr|tires,jr|tires,jr|tires,Yes
81,81,20762,autoblog.com,auto|blog,auto|blog,auto|blog,autoblog,Yes
82,82,1274,bellahalo.com,bella|halo,bella|halo,bella|halo,bella|halo,Yes
83,83,26655,ipne.com,ipne,ipne,ipne,ip|ne,Yes
84,84,30669,achimlelle.com,achim|lelle,achimlelle,achim|lelle,achim|l|elle,No
85,85,73328,advancedmycotech.com,advanced|my|co|tech,advanced|myco|tech,advanced|myco|tech,advanced|my|co|tech,Yes
86,86,38415,desertplumberssuncitywest.com,desert|plumbers|sun|city|west,desert|plumbers|sun|city|west,desert|plumbers|sun|city|west,desert|plumbers|sun|city|west,Yes
87,87,34691,asiaarchitects.com,asia|architects,asia|architects,asia|architects,asia|architects,Yes
88,88,7638,hltjmmj.com,hltjmmj,hltjmmj,hlt|jmmj,hlt|jm|mj,Yes
89,89,5461,evenements-actu.com,evenements|actu,evenements|actu,evenements|actu,evenement|s|actu,Yes
90,90,88711,frameless-whiteboard.com,frameless|whiteboard,frameless|white|board,frame|less|white|board,frameless|whiteboard,Yes
91,91,36708,cshjsy.com,cshjsy,cshjsy,csh|jsy,csh|jsy,Yes
92,92,72155,creatsie.com,creatsie,creatsie,creats|ie,creat|sie,Yes
93,93,11282,hertztrailerrentalsite.com,hertz|trailer|rental|site,hertz|trailer|rental|site,hertz|trailer|rental|site,hertz|trailer|rental|site,Yes
94,94,1408,arpaymenthelp.com,ar|payment|help,ar|payment|help,ar|payment|help,ar|payment|help,Yes
95,95,32678,eagsystems.com,eag|systems,eag|systems,eag|systems,eag|systems,Yes
96,96,68608,helixts.com,helix|ts,helix|ts,helix|ts,helix|ts,Yes
97,97,34035,intellabilling.com,intella|billing,intella|billing,intella|billing,in|tell|a|billing,Yes
98,98,55235,duecvccjc8srad7mpub4rpjjul8f1ucb.com,duecvccjc8srad7mpub4rpjjul8f1ucb,duecvccjc8srad7mpub4rpjjul8f1ucb,duec|vcjc|8s|rad7|mpub4|rpjj|ul8|f1|ucb,due|cvc|cjcs|radm|pub|rpj|jul|f|ucb,No
99,99,84437,espace-prana.com,espace|prana,espace|prana,espace|prana,espace|prana,Yes
100,100,13668,digitalprintbr.com,digital|print|br,digital|print|br,digital|print|br,digital|print|br,Yes
101,101,81548,itectt.com,ite|ctt,itectt,ite|ctt,it|ect|t,Yes
102,102,26206,discoverymediaonline.com,discovery|media|online,discovery|media|online,discovery|media|online,discovery|media|online,Yes
103,103,54491,fiqaoas6dve2l0qf582eqmjrj8bhuud5.com,fiqaoas6dve2l0qf582eqmjrj8bhuud5,fiqaoas6dve2l0qf582eqmjrj8bhuud5,fiq|aoas|6d|ve|2|l0|qf|582|eq|mjr|j8|bhuu|d5,fiq|a|oasd|vel|qfe|qm|jrj|bhu|ud,No
104,104,85005,allthingsfoxvalley.com,all|things|fox|valley,all|things|fox|valley,all|things|fox|valley,all|things|fox|valley,Yes
105,105,53629,deliverthisapp.com,deliver|this|app,deliver|this|app,deliver|this|app,deliver|this|app,Yes
106,106,69937,joelgavino.com,joel|gavino,joel|gavino,joel|gavino,joel|gavino,Yes
107,107,50277,ae3gidg3os1m84fjra1q7i23dromhcu6.com,ae3gidg3os1m84fjra1q7i23dromhcu6,ae3gidg3os1m84fjra1q7i23dromhcu6,ae|3|gidg|3os|1m|84|fjra|1q7|i|23|drom|hcu|6,a|egid|go|smf|jr|a|qid|rom|hcu,No
108,108,72867,dateine.com,date|ine,dateine,date|ine,date|in|e,Yes
109,109,27717,batbnb.com,bat|bnb,bat|bnb,bat|bnb,bat|bnb,Yes
110,110,16011,carbonwingz.com,carbon|wingz,carbon|wingz,carbon|wingz,carbon|wingz,Yes
111,111,63571,davidpatey.com,david|patey,david|patey,david|patey,david|patey,Yes
112,112,69600,7853.com,7853,7853,7853,,No
113,113,45692,chensizhe.com,chensi|zhe,chen|si|zhe,chen|si|zhe,chen|siz|he,No
114,114,7265,camoetc.com,camo|etc,camo|etc,camo|etc,camo|etc,Yes
115,115,95394,europlayhub.com,euro|play|hub,euro|play|hub,euro|play|hub,euro|play|hub,Yes
116,116,8007,ep0lf8iaf07ofa0i0b420097nrrqis5g.com,ep0lf8iaf07ofa0i0b420097nrrqis5g,ep0lf8iaf07ofa0i0b420097nrrqis5g,ep|0lf|8ia|f07|ofa|0i|0b4|20|097|nrr|qis|5g,epl|fiaf|of|a|ibn|rrq|is|g,No
117,117,26924,hubcanopy.com,hub|canopy,hub|canopy,hub|canopy,hub|canopy,Yes
118,118,89212,bizbuzzbyte.com,biz|buzz|byte,biz|buzz|byte,biz|buzz|byte,biz|buzz|byte,Yes
119,119,90614,b45064.com,b45064,b45064,b|45064,b,No
120,120,1726,imsoanxious.com,im|so|anxious,im|so|anxious,im|so|anxious,im|so|anxious,Yes
121,121,68750,comercialrupe.com,comercial|rupe,comercial|rupe,comercial|rupe,comercial|rupe,Yes
122,122,95939,drfitnessint.com,dr|fitness|int,dr|fitness|int,dr|fitness|int,dr|fitness|int,Yes
123,123,57304,ichigoutei.com,ichigo|utei,ichigoutei,ichi|goutei,ichigo|ute|i,No
124,124,13489,blanc-co.com,blanc|co,blanc|co,blanc|co,blancco,Yes
125,125,25155,ibizarec.com,ibiza|rec,ibiza|rec,ibiza|rec,ibiza|rec,Yes
126,126,48293,alchemyofresilience.com,alchemy|of|resilience,alchemy|of|resilience,alchemy|of|resilience,alchemy|of|resilience,Yes
127,127,13653,frequencysocial.com,frequency|social,frequency|social,frequency|social,frequency|social,Yes
128,128,33618,jellychameleon.com,jelly|chameleon,jelly|chameleon,jelly|chameleon,jelly|chameleon,Yes
129,129,54450,jnvyavatmal.com,jnvyavatmal,jnvyavatmal,jnv|yavatmal,j|nvy|a|vat|mal,No
130,130,38719,burgessadams.com,burgess|adams,burgess|adams,burgess|adams,burgess|adams,Yes
131,131,28642,golxmse.com,golxmse,golxmse,gol|xmse,go|lx|mse,No
132,132,50676,365wm95.com,365wm95,365wm95,365|wm|95,wm,No
133,133,63343,gargleblastergames.com,gargle|blaster|games,gargle|blaster|games,gargle|blaster|games,gargle|blaster|games,Yes
134,134,24439,justlotus.com,just|lotus,just|lotus,just|lotus,just|lotus,Yes
135,135,5163,circularletters.com,circular|letters,circular|letters,circular|letters,circular|letters,Yes
136,136,45172,izcutie.com,iz|cutie,iz|cutie,iz|cutie,iz|cutie,Yes
137,137,72028,ayuntamientodegelves.com,ayunta|miento|de|gelves,ayuntamientodegelves,ayuntamiento|de|gelves,ayuntamiento|deg|elves,No
138,138,37488,citylocalcommunity.com,city|local|community,city|local|community,city|local|community,city|local|community,Yes
139,139,5601,efficientbranding.com,efficient|branding,efficient|branding,efficient|branding,efficient|branding,Yes
140,140,31999,healingwithhumandesign.com,healing|with|human|design,healing|with|human|design,healing|with|human|design,healing|with|human|design,Yes
141,141,61414,getwinpartners.com,get|win|partners,get|win|partners,get|win|partners,get|win|partners,Yes
142,142,82493,grubhubz.com,grub|hubz,grub|hubz,grubhub|z,grub|hub|z,Yes
143,143,19661,enirgo.com,en|irgo,enirgo,enir|go,en|ir|go,No
144,144,44962,hildepr.com,hilde|pr,hilde|pr,hilde|pr,hilde|pr,Yes
145,145,60892,astrangertowords.com,a|stranger|to|words,a|stranger|to|words,a|stranger|to|words,a|stranger|to|words,Yes
146,146,86600,98444.com,98444,98444,98444,,No
147,147,92792,briantruncali.com,brian|truncali,brian|truncali,brian|truncali,brian|truncal|i,Yes
148,148,37882,justnaturallyme.com,just|natural|lyme,just|naturally|me,just|naturally|me,just|naturally|me,Yes
149,149,12305,155racing.com,155|racing,155|racing,155|racing,racing,Yes
150,150,79724,funnyfarmrenovation.com,funny|farm|renovation,funny|farm|renovation,funny|farm|renovation,funny|farm|renovation,Yes
151,151,67674,atohio.com,at|ohio,at|ohio,at|ohio,at|ohio,Yes
152,152,51407,crosscultureinnovations.com,cross|culture|innovations,cross|culture|innovations,cross|culture|innovations,cross|culture|innovations,Yes
153,153,28026,endterrorism.com,end|terrorism,end|terrorism,end|terrorism,end|terrorism,Yes
154,154,67715,clasesenarrigorriaga.com,clases|en|arrigorriaga,clasesenarrigorriaga,clase|sen|arri|gorriaga,clases|en|arrigo|rr|iaga,No
155,155,69196,justinsiris.com,justins|iris,just|in|siris,justin|siris,justin|sir|is,Yes
156,156,23076,estesblue.com,estes|blue,estes|blue,estes|blue,estes|blue,Yes
157,157,42337,jaggeddiamond.com,jagged|diamond,jagged|diamond,jagged|diamond,jagged|diamond,Yes
158,158,28695,healthyhabitsvip.com,healthy|habits|vip,healthy|habits|vip,healthy|habits|vip,healthy|habits|vip,Yes
159,159,47898,barrieneurologyclinic.com,barrie|neurology|clinic,barrie|neurology|clinic,barrie|neurology|clinic,barrie|neurology|clinic,Yes
160,160,83022,gcjigui.com,gcji|gui,gcjigui,gc|jigui,gcj|i|gui,No
161,161,41511,brandingbarnd.com,branding|barnd,branding|barn|d,branding|barnd,branding|barn|d,Yes
162,162,31726,audreyanastasia.com,audrey|anastasia,audrey|anastasia,audrey|anastasia,audrey|anastasia,Yes
163,163,57287,estudiarlo.com,estudiarlo,estudiarlo,estudiar|lo,estudiar|lo,No
164,164,10909,fastrrentals.com,fastr|rentals,fastr|rentals,fastr|rentals,fastr|rentals,Yes
165,165,58717,emartmutual.com,emart|mutual,emart|mutual,emart|mutual,em|art|mutual,Yes
166,166,21239,drzahrahatamzadeh.com,dr|zahra|hatamzadeh,dr|zahra|hatamzadeh,dr|zahra|hatamzadeh,dr|zahra|hat|am|zadeh,Yes
167,167,21147,floodstory.com,flood|story,flood|story,flood|story,flood|story,Yes
168,168,82279,bagzladye-accessories2.com,bagz|ladye|accessories|2,bagz|lady|e|accessories|2,bagz|ladye|accessories|2,bag|z|lady|e|accessories,Yes
169,169,36448,cseasadmenerance.com,csea|sad|men|erance,cseasadmenerance,c|seas|admen|erance,csea|sad|men|erance,No
170,170,32606,dilemmathegame.com,dilemma|the|game,dilemma|the|game,dilemma|the|game,dilemma|the|game,Yes
171,171,28039,extensivebs.com,extensive|bs,extensive|bs,extensive|bs,extensive|bs,Yes
172,172,28714,bluesurfgroup.com,blue|surf|group,blue|surf|group,blue|surf|group,blue|surf|group,Yes
173,173,98249,expertqbadvisors.com,expert|qb|advisors,expert|qb|advisors,expert|qba|dvisors,expert|qb|advisors,Yes
174,174,89202,blueantcreative.com,blue|ant|creative,blue|ant|creative,blue|ant|creative,blueant|creative,Yes
175,175,84899,5ov164ncd6j075nl6rnmti9lv2o2fsv6.com,5ov164ncd6j075nl6rnmti9lv2o2fsv6,5ov164ncd6j075nl6rnmti9lv2o2fsv6,5ov|164|ncd|6j|075|nl|6rn|mti|9lv|2o2f|sv6,o|vnc|dj|nlr|nm|til|v|of|sv,No
176,176,63715,315320.com,315320,315320,315320,,No
177,177,85974,handandhearttherapy.com,hand|and|heart|therapy,hand|and|heart|therapy,hand|and|heart|therapy,hand|and|heart|therapy,Yes
178,178,53353,146press.com,146|press,146|press,146|press,press,Yes
179,179,31379,cyclecraftco.com,cycle|craft|co,cycle|craft|co,cycle|craft|co,cycle|craft|co,Yes
