,RefID,Domain_Name,Manual1,Manual2,ChatGPT_4o,Instant_Segment,English?
0,,Domain_Name,Manual1,Manual2,ChatGPT_4o,Instant_Segment,English?
3,33725.0,informaticasicurezza.com,informaticas|icurezza,informatica|sicurezza,informatica|sicurezza,,No
4,49352.0,allianceoverseas.com,alliance|over|seas,alliance|overseas,alliance|overseas,,Yes
7,77070.0,farmcoinc.com,farm|coin|c,farm|co|inc,farm|co|inc,,Yes
16,37949.0,helpponouto.com,help|pon|outo,help|ponouto,help|pon|outo,,Yes
27,47145.0,alpeni.com,al|peni,alpeni,alpen|i,,No
30,71690.0,communautedugout.com,communaute|dug|out,communaute|dugout,communaut|e|dugout,,Yes
33,21258.0,didacti-todo.com,didacti|to|do,didacti|todo,didacti|todo,,Yes
36,39541.0,defilex.com,defile|x,defilex,defile|x,,Yes
39,31773.0,johnmoriartyart.com,john|mori|art|y|art,john|moriarty|art,john|moriarty|art,,Yes
40,82175.0,ferienwohnung-wf.com,ferien|wohnung|wf,ferienwohnung|wf,ferien|wohnung|wf,,No
41,60890.0,abroadmilestones.com,a|broad|mile|stones,abroad|mile|stones,abroad|milestones,,Yes
42,27212.0,heiligegraal.com,heili|gegraal,heiligegraal,heilige|graal,,No
45,84529.0,cbandslandscaping.com,c|bands|land|scaping,cb|and|s|landscaping,cb|and|s|landscaping,,Yes
51,84657.0,doufi2.com,doufi|2,doufi2,doufi|2,,Yes
57,80479.0,ascottstarrewards.com,a|scott|star|rewards,ascott|star|rewards,ascott|star|rewards,,Yes
61,49069.0,empowersvces.com,empowers|vces,empower|svces,empowers|vces,,Yes
66,66238.0,dilyano.com,dil|yano,dilyano,dily|ano,,No
78,94678.0,immunomedics-gilead.com,immuno|medics|gi|lead,immunomedics|gilead,immuno|medics|gilead,,Yes
85,30669.0,achimlelle.com,achim|lelle,achimlelle,achim|lelle,,No
86,73328.0,advancedmycotech.com,advanced|my|co|tech,advanced|myco|tech,advanced|myco|tech,,Yes
91,88711.0,frameless-whiteboard.com,frameless|whiteboard,frameless|white|board,frame|less|white|board,,Yes
102,81548.0,itectt.com,ite|ctt,itectt,ite|ctt,,Yes
109,72867.0,dateine.com,date|ine,dateine,date|ine,,Yes
114,45692.0,chensizhe.com,chensi|zhe,chen|si|zhe,chen|si|zhe,,No
124,57304.0,ichigoutei.com,ichigo|utei,ichigoutei,ichi|goutei,,No
138,72028.0,ayuntamientodegelves.com,ayunta|miento|de|gelves,ayuntamientodegelves,ayuntamiento|de|gelves,,No
144,19661.0,enirgo.com,en|irgo,enirgo,enir|go,,No
149,37882.0,justnaturallyme.com,just|natural|lyme,just|naturally|me,just|naturally|me,,Yes
155,67715.0,clasesenarrigorriaga.com,clases|en|arrigorriaga,clasesenarrigorriaga,clase|sen|arri|gorriaga,,No
156,69196.0,justinsiris.com,justins|iris,just|in|siris,justin|siris,,Yes
161,83022.0,gcjigui.com,gcji|gui,gcjigui,gc|jigui,,No
162,41511.0,brandingbarnd.com,branding|barnd,branding|barn|d,branding|barnd,,Yes
169,82279.0,bagzladye-accessories2.com,bagz|ladye|accessories|2,bagz|lady|e|accessories|2,bagz|ladye|accessories|2,,Yes
170,36448.0,cseasadmenerance.com,csea|sad|men|erance,cseasadmenerance,c|seas|admen|erance,,No
182,20781.0,heimscheid.com,heim|scheid,heimscheid,heimscheid,,No
197,38665.0,contractorsteamllc.com,contractor|steam|llc,contractors|team|llc,contractors|team|llc,,Yes
198,6925.0,enziglow.com,enzig|low,enzi|glow,enz|i|glow,,Yes
203,92695.0,heartothemountain.com,heart|o|the|mountain,hear|to|the|mountain,heart|of|the|mountain,,Yes
206,94815.0,asterisies.com,aster|isies,asterisies,aster|isies,,Yes
216,75671.0,anaelearning.com,ana|elearning,anae|learning,anae|learning,,Yes
218,77062.0,heolanicreations.com,heol|ani|creations,heo|lani|creations,heolani|creations,,Yes
224,29803.0,dropintotech.com,drop|in|to|tech,drop|into|tech,drop|in|to|tech,,Yes
233,99274.0,demaddis.com,de|maddis,demaddis,dem|addis,,No
248,73286.0,allairedavis.com,all|aire|davis,allaire|davis,allaire|davis,,Yes
259,60815.0,bouillouses.com,bouil|louses,bouillouses,bouillouses,,No
270,19311.0,fflluxe.com,fflluxe,ffl|luxe,ffl|luxe,,Yes
272,15407.0,avamaerowe.com,ava|mae|rowe,avamaerowe,ava|mae|rowe,,No
275,55084.0,csepoalphatech.com,csepoalpha|tech,cse|po|alpha|tech,csep|o|alpha|tech,,Yes
276,95134.0,expertradings.com,exper|tradings,expert|radings,expert|radings,,Yes
279,89621.0,heng93.com,heng93,heng|93,heng|93,,No
280,73112.0,finansustrategas.com,finansu|strategas,finansustrategas,finans|us|strategas,,No
285,68648.0,downtownoasis.com,down|town|oasis,downtown|oasis,downtown|oasis,,Yes
286,95132.0,halcophelps.com,hal|cop|helps,halco|phelps,halco|phelps,,Yes
287,78456.0,jl128.com,jl128,jl|128,jl|128,,No
296,19956.0,fastnerspoint.com,fast|ners|point,fastners|point,fastners|point,,Yes
298,76569.0,jy3824.com,jy3824,jy|3824,jy|3824,,No
300,44342.0,indoorharvester.com,in|door|harvester,indoor|harvester,indoor|harvester,,Yes
308,58462.0,bednarzfamily.com,bed|narz|family,bednarz|family,bednarz|family,,Yes
317,21589.0,gwinnettcountybraves.com,g|winnett|county|braves,gwinnett|county|braves,gwinnett|county|braves,,Yes
324,99037.0,betteringz.com,bette|ringz,betteringz,better|ing|z,,Yes
354,95481.0,isgdatabasedevelopment.com,isg|data|base|development,isg|database|development,isg|database|development,,Yes
360,24412.0,centroservizicapalbio.com,centro|servizi|capalbio,centro|servizica|palbio,centro|servizi|capalbio,,No
376,97835.0,football-scene.com,foot|ball|scene,football|scene,football|scene,,Yes
378,6150.0,apostabet77.com,a|post|a|bet|77,aposta|bet|77,apostabet|77,,Yes
380,78820.0,cuchillostrenzados.com,cuchillo|strenzados,cuchillos|trenzados,cuchillos|trenzados,,No
382,53135.0,dunadeldaryoush.com,duna|del|daryoush,dunadeldaryoush,duna|del|dary|oush,,No
383,86540.0,abellehayford.com,abelle|hayford,abelle|hay|ford,abelle|hayford,,Yes
384,76812.0,aguacatesechartea.com,agua|catese|chartea,aguacatesechartea,aguacates|echartea,,No
386,60072.0,jandrliquidations.com,jandr|liquidations,j|and|r|liquidations,jandr|liquidations,,Yes
392,10539.0,164hu.com,164hu,164|hu,164|hu,,No
395,73078.0,alfazeta.com,al|fazeta,alfa|zeta,alfa|zeta,,Yes
400,35129.0,ashtxn.com,ashtxn,ash|txn,ash|txn,,Yes
401,10782.0,jvstr.com,jvstr,jv|str,jv|str,,Yes
402,44018.0,114ef.com,114ef,114|ef,114|ef,,No
403,63479.0,520iee.com,520iee,520|iee,520|iee,,No
406,5734.0,basmalaaus.com,basmala|aus,basmalaaus,basmala|aus,,No
408,33203.0,foreverpathwaysministries.com,forever|pathways|ministries,forever|path|ways|ministries,forever|pathways|ministries,,Yes
412,57816.0,isatissoome.com,i|sat|issoome,isatissoome,isatis|soome,,No
420,19861.0,fatimaboscodalat.com,fatima|boscodalat,fatima|bosco|dalat,fatima|bosco|dalat,,Yes
432,51141.0,aty992.com,aty992,aty|992,aty|992,,Yes
437,21382.0,digitesouro.com,digit|esouro,digites|ouro,digite|souro,,No
445,32432.0,cabmedvaanissen.com,cabmed|vaanissen,cab|med|vaanissen,cabmed|vaan|issen,,No
447,35583.0,blastafoodrecipes.com,blasta|food|recipes,blast|a|food|recipes,blasta|food|recipes,,Yes
461,78559.0,gabinetegalaniglesias.com,gabi|netegalan|iglesias,gabinet|egalan|iglesias,gabinete|galan|iglesias,,No
470,93569.0,dyegenx.com,dye|genx,dye|gen|x,dye|genx,,Yes
481,37528.0,jpziyuan.com,jpzi|yuan,jp|zi|yuan,jp|ziyuan,,No
488,21012.0,ebonyoneverything.com,ebony|on|everything,ebony|on|every|thing,ebony|on|everything,,Yes
492,12008.0,dodexo.com,dodexo,do|dexo,dod|exo,,Yes
498,97916.0,702mlan.com,702mlan,702|mlan,702|mlan,,Yes
500,57943.0,dogurineremovers.com,dogurine|removers,dog|urine|removers,dog|urine|removers,,Yes
516,73292.0,dadaxz.com,dad|axz,dada|xz,dada|xz,,Yes
522,27242.0,centrohipicomaasbree.com,centro|hipico|maas|bree,centrohipicomaasbree,centro|hipico|maasbree,,Yes
523,81027.0,drlnlaws.com,dr|ln|laws,dr|lnlaws,dr|ln|laws,,Yes
529,57265.0,electronicafromusic.com,electronic|afro|music,electronica|fro|music,electronica|from|music,,Yes
543,87399.0,grupoproimpsac.com,grupo|proimpsac,grupo|pro|imp|sac,grupo|pro|imp|sac,,Yes
549,33210.0,ismile-dentalcare.com,i|smile|dental|care,i|smile|dentalcare,i|smile|dental|care,,Yes
551,12118.0,ellxi.com,ell|xi,ellxi,ell|xi,,Yes
552,66571.0,abarroteriaelrey.com,abarro|teria|el|rey,abarroteria|el|rey,abarroteria|el|rey,,No
570,30358.0,jetportgas.com,jet|port|gas,jetport|gas,jet|port|gas,,Yes
584,88874.0,iamagtech.com,iamag|tech,ia|magtech,iam|ag|tech,,Yes
588,89367.0,hthvip1573.com,hthvip1573,hth|vip|1573,hth|vip|1573,,Yes
591,21920.0,cooperstownmotel.com,coopers|town|motel,cooperstown|motel,cooperstown|motel,,Yes
593,57197.0,batimmoplus.com,batimmo|plus,bat|immo|plus,batimmo|plus,,Yes
595,19008.0,jingruxin.com,jing|ruxin,jing|ru|xin,jing|ru|xin,,No
596,65607.0,gordonmonangfusion.com,gordon|monang|fusion,gordon|mon|ang|fusion,gordon|monang|fusion,,Yes
602,58779.0,alandsonsplumbingusa.com,alandsons|plumbing|usa,al|and|sons|plumbing|usa,aland|sons|plumbing|usa,,Yes
605,44192.0,handdrawnquartered.com,hand|drawn|quartered,handdrawn|quartered,hand|drawn|quartered,,Yes
606,20221.0,everythingopulencebeauty.com,every|thing|opulence|beauty,everything|opulence|beauty,everything|opulence|beauty,,Yes
610,28197.0,drahailaalmeida.com,drahaila|almeida,drahailaalmeida,dr|ahaila|almeida,,No
614,99581.0,fraudsteveschwartzapfel.com,fraud|steve|schwartzapfel,fraudsteveschwartzapfel,fraud|steve|schwartz|apfel,,No
615,35682.0,destileriastenis.com,destileriastenis,destileria|stenis,destileria|stenis,,No
623,8872.0,doangialand.com,doangia|land,do|angia|land,do|angia|land,,Yes
626,38330.0,gogogive.com,gogo|give,go|go|give,gogo|give,,Yes
629,70659.0,everydaypilgrimage.com,every|day|pilgrimage,everyday|pilgrimage,everyday|pilgrimage,,Yes
632,33499.0,frivmax.com,frivmax,friv|max,friv|max,,Yes
633,98137.0,franchisetailgate.com,franchise|tail|gate,franchise|tailgate,franchise|tailgate,,Yes
634,34609.0,1761z1761.com,1761|z|1761,1761z1761,1761|z|1761,,Yes
635,27045.0,dezracing.com,dezr|acing,dez|racing,dez|racing,,Yes
636,93837.0,bcever.com,bcever,bc|ever,bc|ever,,Yes
638,88037.0,carrentalsearch.com,car|rental|search,carrental|search,car|rental|search,,Yes
646,85145.0,centrovesalius.com,centro|vesalius,centrovesalius,centro|vesalius,,No
647,94567.0,decarboneum.com,decarbon|eum,decarboneum,de|carboneum,,Yes
652,57221.0,ecommercerating.com,e|commerce|rating,ecommerce|rating,ecommerce|rating,,Yes
654,15190.0,humanleyprints.com,human|ley|prints,humanley|prints,human|ley|prints,,Yes
658,21608.0,jahanihsan.com,jaha|nihsan,jahanihsan,jahan|ihsan,,Yes
659,42253.0,ecominsurance.com,e|com|insurance,ecom|insurance,ecom|insurance,,Yes
661,66359.0,ifovgroupe.com,i|fov|groupe,ifov|groupe,ifo|v|groupe,,No
663,96689.0,collinslawde.com,collins|law|de,collins|lawde,collins|law|de,,Yes
668,10486.0,everything2gain.com,every|thing|2|gain,everything|2|gain,everything|2|gain,,Yes
678,83286.0,gatewaylimousine.com,gate|way|limousine,gateway|limousine,gateway|limousine,,Yes
686,72952.0,hbd7.com,hbd|7,hbd7,hbd|7,,No
687,95406.0,glamivie.com,glam|ivie,glamivie,glam|vie,,Yes
691,60370.0,fourniplant.com,fourni|plant,four|ni|plant,fourni|plant,,Yes
721,51381.0,carbofil.com,carbofil,carbo|fil,carbo|fil,,Yes
723,63778.0,13aresearch.com,13a|research,13|a|research,13a|research,,Yes
728,29867.0,ansarandolini.com,ansarandolini,ansa|randolini,ansar|and|olini,,Yes
739,91669.0,baybuildersal.com,bay|builders|al,bay|builder|sal,bay|builders|al,,Yes
749,47733.0,farmerseinsurance.com,farmers|einsurance,farmers|e|insurance,farmers|e|insurance,,Yes
751,85523.0,gworldlogis.com,gworld|logis,g|world|logis,g|world|logis,,Yes
