,0,1,2,3,4,instant_segment,5,"Disagreement Type (D, P, C, F, T, N)",D = Disagreement
2,33725,informaticasicurezza.com,informaticas|icurezza,informatica|sicurezza,informatica|sicurezza,informatica|sicurezza,No,F,P = Portmanteau
3,49352,allianceoverseas.com,alliance|over|seas,alliance|overseas,alliance|overseas,alliance|overseas,Yes,C,C = Compound Word
6,77070,farmcoinc.com,farm|coin|c,farm|co|inc,farm|co|inc,farm|co|inc,Yes,D,F = Foreign Language
15,37949,helpponouto.com,help|pon|outo,help|ponouto,help|pon|outo,help|p|on|out|o,Yes,D,T = Typo
26,47145,alpeni.com,al|peni,alpeni,alpen|i,alpen|i,No,F,N = Name
29,71690,communautedugout.com,communaute|dug|out,communaute|dugout,communaut|e|dugout,communaute|dugout,Yes,C,R = Random String
32,21258,didacti-todo.com,didacti|to|do,didacti|todo,didacti|todo,did|act|i|todo,Yes,C,
35,39541,defilex.com,defile|x,defilex,defile|x,defile|x,Yes,D,
38,31773,johnmoriartyart.com,john|mori|art|y|art,john|moriarty|art,john|moriarty|art,john|moriarty|art,Yes,N,
39,82175,ferienwohnung-wf.com,ferien|wohnung|wf,ferienwohnung|wf,ferien|wohnung|wf,ferienwohnung|wf,No,F,
40,60890,abroadmilestones.com,a|broad|mile|stones,abroad|mile|stones,abroad|milestones,a|broad|milestones,Yes,C,
41,27212,heiligegraal.com,heili|gegraal,heiligegraal,heilige|graal,heilige|graal,No,F,
44,84529,cbandslandscaping.com,c|bands|land|scaping,cb|and|s|landscaping,cb|and|s|landscaping,c|bands|landscaping,Yes,D,
50,84657,doufi2.com,doufi|2,doufi2,doufi|2,do|ufi,Yes,F,
56,80479,ascottstarrewards.com,a|scott|star|rewards,ascott|star|rewards,ascott|star|rewards,a|scott|star|rewards,Yes,N,
60,49069,empowersvces.com,empowers|vces,empower|svces,empowers|vces,empower|svces,Yes,P,
65,66238,dilyano.com,dil|yano,dilyano,dily|ano,d|ilya|no,No,F,
77,94678,immunomedics-gilead.com,immuno|medics|gi|lead,immunomedics|gilead,immuno|medics|gilead,immuno|medics|gilead,Yes,D,
84,30669,achimlelle.com,achim|lelle,achimlelle,achim|lelle,achim|l|elle,No,F,
85,73328,advancedmycotech.com,advanced|my|co|tech,advanced|myco|tech,advanced|myco|tech,advanced|my|co|tech,Yes,D,
90,88711,frameless-whiteboard.com,frameless|whiteboard,frameless|white|board,frame|less|white|board,frameless|whiteboard,Yes,C,
101,81548,itectt.com,ite|ctt,itectt,ite|ctt,it|ect|t,Yes,R,
108,72867,dateine.com,date|ine,dateine,date|ine,date|in|e,Yes,R,
113,45692,chensizhe.com,chensi|zhe,chen|si|zhe,chen|si|zhe,chen|siz|he,No,F,
123,57304,ichigoutei.com,ichigo|utei,ichigoutei,ichi|goutei,ichigo|ute|i,No,F,
137,72028,ayuntamientodegelves.com,ayunta|miento|de|gelves,ayuntamientodegelves,ayuntamiento|de|gelves,ayuntamiento|deg|elves,No,F,
143,19661,enirgo.com,en|irgo,enirgo,enir|go,en|ir|go,No,F,
148,37882,justnaturallyme.com,just|natural|lyme,just|naturally|me,just|naturally|me,just|naturally|me,Yes,D,
154,67715,clasesenarrigorriaga.com,clases|en|arrigorriaga,clasesenarrigorriaga,clase|sen|arri|gorriaga,clases|en|arrigo|rr|iaga,No,F,
155,69196,justinsiris.com,justins|iris,just|in|siris,justin|siris,justin|sir|is,Yes,N,
160,83022,gcjigui.com,gcji|gui,gcjigui,gc|jigui,gcj|i|gui,No,R,
161,41511,brandingbarnd.com,branding|barnd,branding|barn|d,branding|barnd,branding|barn|d,Yes,D,
168,82279,bagzladye-accessories2.com,bagz|ladye|accessories|2,bagz|lady|e|accessories|2,bagz|ladye|accessories|2,bag|z|lady|e|accessories,Yes,D,
169,36448,cseasadmenerance.com,csea|sad|men|erance,cseasadmenerance,c|seas|admen|erance,csea|sad|men|erance,No,F,
181,20781,heimscheid.com,heim|scheid,heimscheid,heimscheid,heim|scheid,No,F,
