,Domain Name,Segmentation 1,Segmentation 2,GPT Segmentation,English? (Yes/No)
99968,digiweb360.com,digi|web|360,,digi|web|360,
19557,alovingpracticetherapy.com,a|loving|practice|therapy,,a|loving|practice|therapy,
87542,hillstrom.com,hillstrom,,hillstrom,
35321,joecjohnson.com,joe|c|johnson,,joe|c|johnson,
48347,imaco-products-solutions.com,imaco|products|solutions,,imaco|products|solutions,
54759,dogtrainerfortmyers.com,dog|trainer|fort|myers,,dog|trainer|fort|myers,
60008,bstcoins.com,bst|coins,,bst|coins,
20968,elpayasodelasventas.com,el|paya|sode|las|ventas,,el|payaso|de|las|ventas,
5675,hitscreeningservice.com,hit|screening|service,,hit|screening|service,
40637,iborrahnos.com,iborra|hnos,,i|borrahnos,
66669,agapedaycareandlearningcenter.com,agape|daycare|and|learning|center,,agape|daycare|and|learning|center,
63904,avanzamail.com,avanza|mail,,avanza|mail,
23259,churchhilldownsincorporated.com,church|hill|downs|incorporated,,church|hill|downs|incorporated,
96156,artstephano.com,art|stephano,,art|stephano,
44947,e-faceboo0.com,e|faceboo|0,,e|faceboo|0,
5920,fedecopa.com,fed|ecopa,,fede|copa,
54366,federicobonifazi.com,federico|boni|fazi,,federico|bonifazi,
7808,bell-theatre.com,bell|theatre,,bell|theatre,
85423,agroribera.com,agro|ribera,,agro|ribera,
91011,instijlmedia.com,instijl|media,,in|stijl|media,
95123,grangeoutpost.com,grange|outpost,,grange|outpost,
61528,integrativebodybalance.com,integrative|body|balance,,integrative|body|balance,
16297,jonanmoimportaciones.com,jon|anmo|importaciones,,jonanmo|importaciones,
28400,enfinjevaisbien.com,en|fin|jevais|bien,,enfin|je|vais|bien,
80675,allproasphalt3.com,all|pro|asphalt|3,,all|pro|asphalt|3,
98573,ginestreeservice.com,gines|tree|service,,gines|tree|service,
2214,igomyway.com,i|go|my|way,,i|go|my|way,
56993,fishermcrae.com,fisher|mcrae,,fisher|mc|rae,
91536,gbccms.com,gbccms,,gb|ccms,
70723,capital-cnc.com,capital|cnc,,capital|cnc,
59006,encanducollectionneur.com,encandu|collection|neur,,encandu|collectionneur,
91834,jonathanfarran.com,jonathan|farran,,jonathan|farran,
224,fosmore.com,fosmore,,fos|more,
41793,amiratravelagency.com,amira|travel|agency,,amira|travel|agency,
55822,concreteefficiency.com,concrete|efficiency,,concrete|efficiency,
26058,ams20test.com,ams|20|test,,ams|20|test,
48617,bet5322.com,bet|5322,,bet|5322,
76192,intelligentautomobiles.com,intelligent|automobiles,,intelligent|automobiles,
57302,cotesia.com,cotesia,,cotesia,
42286,claremontcandles.com,claremont|candles,,claremont|candles,
84244,calcarios.com,calcarios,,calcarios,
96066,continentie-expert.com,continentie|expert,,continent|ie|expert,
81959,fidalsl.com,fidalsl,,fidal|sl,
39492,etthundra.com,et|thundra,,et|thundra,
70199,clootique.com,clootique,,cloo|tique,
2036,aiiagroup.com,aiia|group,,aiia|group,
42168,clermontacrylicwindows.com,clermont|acrylic|windows,,clermont|acrylic|windows,
955,doncowansellssumter.com,don|cowan|sells|sumter,,don|cow|an|sells|sumter,
7586,agorabuilt.com,agora|built,,agora|built,
50698,5minutesbody.com,5|minutes|body,,5|minutes|body,
21285,i-popai.com,i|popai,,i|popai,
25476,fountainbleaulasvegas.com,fountain|bleau|las|vegas,,fountain|bleau|las|vegas,
70431,everettcomputerepair.com,everett|compute|repair,,everett|computer|repair,
10135,emfdefence.com,emf|defence,,emf|defence,
22411,cointradegenius.com,cointra|de|genius,,coin|trade|genius,
29669,daisyscreations-sa.com,daisys|creations|sa,,daisys|creations|sa,
2193,brazilianweightloss2024.com,brazilian|weight|loss|2024,,brazilian|weight|loss|2024,
10679,bouyssi.com,bouyssi,,bou|yssi,
59651,jfrcontracting.com,jfr|contracting,,jfr|contracting,
