,Domain Name,Segmentation
99968,digiweb360.com,digi|web|360
19557,alovingpracticetherapy.com,a|loving|practice|therapy
87542,hillstrom.com,hillstrom
35321,joecjohnson.com,joe|c|johnson
48347,imaco-products-solutions.com,imaco|products|solutions
54759,dogtrainerfortmyers.com,dog|trainer|fort|myers
60008,bstcoins.com,bst|coins
20968,elpayasodelasventas.com,el|paya|sode|las|ventas
5675,hitscreeningservice.com,hit|screening|service
40637,iborrahnos.com,iborra|ahnos
66669,agapedaycareandlearningcenter.com,agape|daycare|and|learning|center
63904,avanzamail.com,avanza|mail
23259,churchhilldownsincorporated.com,churchill|downs|incorporated
96156,artstephano.com,art|stephano
44947,e-faceboo0.com,e|faceboo|0
5920,fedecopa.com,fed|ecopa
54366,federicobonifazi.com,federico|boni|fazi
7808,bell-theatre.com,bell|theatre
85423,agroribera.com,agro|ribera
91011,instijlmedia.com,instijl|media
95123,grangeoutpost.com,grange|outpost
61528,integrativebodybalance.com,integrative|body|balance
16297,jonanmoimportaciones.com,jon|anmo|importaciones
28400,enfinjevaisbien.com,en|fin|jevais|bien
80675,allproasphalt3.com,all|pro|asphalt|3
98573,ginestreeservice.com,gines|tree|service
2214,igomyway.com,i|go|my|way
56993,fishermcrae.com,fisher|mcrae
91536,gbccms.com,gbccms
70723,capital-cnc.com,capital|cnc
59006,encanducollectionneur.com,encandu|collection|neur
91834,jonathanfarran.com,jonathan|farran
224,fosmore.com,fosmore
41793,amiratravelagency.com,amira|travel|agency
55822,concreteefficiency.com,concrete|efficiency
26058,ams20test.com,ams|20|test
48617,bet5322.com,bet|5322
76192,intelligentautomobiles.com,intelligent|automobiles
57302,cotesia.com,cotesia
42286,claremontcandles.com,claremont|candles
84244,calcarios.com,calcarios
96066,continentie-expert.com,continentie|expert
81959,fidalsl.com,fidalsl
39492,etthundra.com,et|thundra
70199,clootique.com,clootique
2036,aiiagroup.com,aiia|group
42168,clermontacrylicwindows.com,clermont|acrylic|windows
955,doncowansellssumter.com,don|cowan|sells|sumter
7586,agorabuilt.com,agora|built
50698,5minutesbody.com,5|minutes|body
21285,i-popai.com,i|popai
25476,fountainbleaulasvegas.com,fountain|bleau|las|vegas
